ID,Fraud
2274,1
5355,0
5877,1
9828,0
1420,0
7830,0
3759,0
2668,1
848,1
8177,1
4007,1
3358,1
7731,0
8166,1
3648,1
8738,0
4803,1
4565,1
5018,1
6680,0
2326,0
358,1
1892,0
1868,0
8590,1
3733,1
4064,1
6684,1
7048,1
1018,0
6502,0
8871,0
2110,1
4020,0
5840,1
9851,1
4886,0
4105,0
9853,0
2749,1
5446,0
5366,1
8072,0
4630,1
2803,1
5283,0
4769,1
3106,0
9608,1
9623,1
5833,1
2557,0
8023,1
1048,1
8686,0
5552,1
3248,1
9899,1
7434,1
8593,0
3591,0
6001,0
518,0
6349,1
5499,0
6522,0
3828,1
8335,1
3219,0
8696,1
7492,1
5881,0
806,0
4746,1
5904,1
4392,0
3572,1
9441,1
2153,0
4436,1
6973,1
5866,1
1641,1
9406,0
3411,0
9619,1
8867,1
6160,1
9075,1
6266,1
8362,1
3993,1
5082,1
4643,1
5806,0
8371,1
612,1
2951,0
2754,1
6536,1
8228,0
3557,1
2264,1
541,1
2731,0
9435,1
5603,1
109,1
3271,1
8058,1
4173,1
3139,1
3462,1
7463,0
3613,0
7542,0
2341,0
7216,1
5593,0
2414,0
1392,0
8070,1
6902,0
2753,0
4296,1
5421,0
3297,1
8295,1
2523,0
2723,1
9708,0
4266,0
6220,0
4353,1
2059,1
6111,1
6165,1
3196,1
662,1
1061,1
2628,1
9562,0
9605,0
9346,1
133,0
9555,0
4960,1
1902,1
2423,1
7323,1
6980,0
4457,1
5918,1
3770,1
4141,1
5257,1
6774,1
477,1
2755,0
6443,1
8367,1
6136,1
4089,1
8944,1
1575,1
9805,0
7392,1
7865,1
7557,1
4348,0
1004,1
9597,0
8287,1
3984,0
312,1
51,0
410,0
2485,0
7089,1
4125,1
6173,0
963,1
8978,1
3294,0
8543,0
9290,0
9071,1
5474,1
2566,1
3405,1
992,1
2961,1
9848,1
7676,1
6357,1
2934,0
4278,1
4060,1
8438,0
6315,1
3599,1
1678,1
1779,1
6495,1
8094,0
3126,0
1830,0
150,0
9024,1
8905,1
5687,0
4561,0
3559,1
9425,1
3352,0
3556,1
9699,0
9051,0
5136,1
6550,1
2781,1
8659,1
7103,1
7090,0
6983,0
9350,1
7590,1
2869,0
5948,1
8092,1
2983,1
8787,1
6238,1
516,1
3706,1
8617,0
5551,0
490,1
1815,0
5683,1
3679,0
8034,0
1510,1
8965,1
8748,0
5799,0
2295,0
8397,1
3124,1
6416,1
6783,0
3657,0
4071,1
4347,1
4981,0
3307,1
9314,1
3802,0
5307,1
617,1
9139,0
1683,0
6696,0
1785,0
5576,1
7950,1
2691,0
3960,1
5712,1
4092,0
8218,1
8434,1
6466,1
8670,1
2525,1
2602,1
1795,1
5408,1
3226,1
2510,0
4375,1
8903,1
1766,1
9872,1
8250,1
4788,1
589,0
3050,0
4685,0
3346,1
1859,1
5098,1
3241,0
6938,1
5985,0
5569,1
3890,1
8482,0
3777,1
845,0
2630,0
619,0
6908,1
8210,0
4303,1
2415,1
6411,1
5059,1
5716,0
6616,0
8189,1
8759,1
8123,1
7018,1
3293,1
6690,1
7476,1
7500,0
2712,1
1265,1
8468,0
8209,1
4151,1
6740,1
261,0
443,1
1458,1
6568,1
3654,1
5912,1
9907,1
590,0
8991,1
5857,1
761,1
7621,1
5040,0
1325,1
7778,0
2823,1
2530,1
3216,1
9676,1
7580,1
3779,1
3633,1
1552,0
2968,1
4546,1
8037,1
8534,1
4086,1
4690,0
4596,0
279,0
1278,0
6133,0
2268,1
6844,1
370,1
4431,1
9122,0
4124,1
4841,0
6789,1
6429,1
4149,1
1422,1
4694,1
267,1
416,1
8984,1
551,0
3881,0
4430,0
3476,1
5070,0
2608,0
2574,1
4179,1
988,1
9891,1
5527,1
3182,1
4287,0
3465,1
7456,1
3949,0
8555,1
9030,1
5250,1
3327,0
2212,1
8124,1
3783,1
1692,0
8283,1
1238,0
7721,0
3832,0
8682,0
4177,0
438,1
5039,0
1337,1
5295,1
6083,1
2018,1
2997,1
1177,1
1776,0
4770,1
5285,1
8255,0
9186,1
240,0
5500,1
4500,1
7015,1
5685,1
4601,1
1365,0
7948,0
9637,0
6224,0
1374,1
8101,0
6855,0
8247,1
5481,1
9259,1
7973,0
9013,1
9869,1
5681,0
1112,1
6356,1
9080,0
3982,0
1125,1
9423,0
712,0
3263,1
3339,1
411,1
3790,1
9696,1
4573,0
9533,0
8931,1
6009,0
3261,1
4687,1
5097,0
3951,1
2072,1
8564,0
6540,0
9460,0
5128,0
3916,0
3150,0
454,0
8003,0
5482,0
1749,0
9591,1
2025,0
3563,0
1889,1
475,1
3649,1
5009,1
7635,0
9125,1
9302,0
8396,1
70,1
5960,1
9944,0
3905,1
2489,1
9053,1
608,0
4697,1
7623,0
4109,0
1858,0
3687,0
5429,1
6636,1
1853,0
9218,1
3837,0
6319,0
6264,0
3447,1
4160,1
641,1
4341,1
8804,1
927,1
3577,1
7581,1
237,1
9217,1
7861,1
5727,1
1736,0
4515,0
2801,0
